Show_Id,Title,Type,Genre,Country,Release_Year,Date_Added,Rating,Duration
s0001,Netflix Title 1,Movie,Comedy,Canada,1995,2018-01-31,PG,149 min
s0002,Netflix Title 2,Movie,Horror,United States,2013,2019-09-25,G,109 min
s0003,Netflix Title 3,Movie,Sci-Fi,Germany,2012,2017-03-25,R,155 min
s0004,Netflix Title 4,TV Show,"Romance, Documentary",United Kingdom,2020,2015-01-27,TV-14,2 Seasons
s0005,Netflix Title 5,Movie,"Comedy, Romance",India,2019,2018-10-10,G,124 min
s0006,Netflix Title 6,TV Show,Thriller,Spain,2020,2015-06-27,TV-MA,1 Seasons
s0007,Netflix Title 7,TV Show,Comedy,South Korea,2021,2022-01-18,TV-MA,1 Seasons
s0008,Netflix Title 8,Movie,Comedy,India,2019,2018-03-31,TV-PG,128 min
s0009,Netflix Title 9,TV Show,"Romance, Horror",South Korea,2009,2022-02-16,PG,6 Seasons
s0010,Netflix Title 10,TV Show,"Action, Crime, Horror",India,2017,2022-08-31,TV-MA,2 Seasons
s0011,Netflix Title 11,TV Show,"Romance, Drama, Horror",Germany,2007,2018-01-10,PG,1 Seasons
s0012,Netflix Title 12,TV Show,"Romance, Horror, Sci-Fi",India,2007,2018-01-01,PG,4 Seasons
s0013,Netflix Title 13,TV Show,"Crime, Animation, Documentary",United Kingdom,1999,2017-12-20,PG,6 Seasons
s0014,Netflix Title 14,TV Show,Action,France,2023,2021-07-18,PG-13,5 Seasons
s0015,Netflix Title 15,TV Show,"Action, Thriller, Comedy",India,1997,2015-07-12,PG,4 Seasons
s0016,Netflix Title 16,TV Show,"Drama, Comedy, Documentary",Germany,2014,2020-04-01,PG-13,6 Seasons
s0017,Netflix Title 17,TV Show,"Drama, Documentary",France,1998,2018-04-17,PG,5 Seasons
s0018,Netflix Title 18,Movie,"Crime, Horror, Action",Japan,2011,2016-03-11,TV-PG,127 min
s0019,Netflix Title 19,Movie,"Sci-Fi, Drama",United States,2012,2020-12-12,TV-MA,94 min
s0020,Netflix Title 20,TV Show,Animation,Canada,2023,2018-06-13,G,1 Seasons
s0021,Netflix Title 21,Movie,"Action, Animation, Sci-Fi",India,2018,2020-06-13,TV-PG,150 min
s0022,Netflix Title 22,Movie,"Horror, Documentary, Thriller",France,2003,2020-12-01,PG,127 min
s0023,Netflix Title 23,TV Show,Horror,Spain,2023,2020-10-20,G,1 Seasons
s0024,Netflix Title 24,TV Show,"Horror, Drama, Comedy",Germany,1995,2021-08-06,PG,6 Seasons
s0025,Netflix Title 25,Movie,"Comedy, Crime",United States,2002,2015-10-04,TV-PG,110 min
s0026,Netflix Title 26,TV Show,Animation,Canada,2016,2020-06-11,TV-MA,5 Seasons
s0027,Netflix Title 27,TV Show,Comedy,France,2002,2020-04-21,PG,6 Seasons
s0028,Netflix Title 28,TV Show,"Drama, Comedy, Animation",France,2006,2019-10-01,R,4 Seasons
s0029,Netflix Title 29,TV Show,Crime,Canada,2020,2016-03-23,PG,4 Seasons
s0030,Netflix Title 30,Movie,Comedy,Japan,2008,2017-01-21,R,136 min
s0031,Netflix Title 31,Movie,Comedy,Germany,1996,2022-04-25,TV-PG,110 min
s0032,Netflix Title 32,Movie,"Drama, Action",Spain,2008,2020-06-12,PG,128 min
s0033,Netflix Title 33,Movie,"Crime, Sci-Fi",Spain,2007,2017-12-22,PG-13,99 min
s0034,Netflix Title 34,Movie,"Crime, Drama, Romance",United States,2004,2017-06-10,TV-MA,87 min
s0035,Netflix Title 35,Movie,"Action, Drama, Comedy",Germany,2013,2020-05-06,TV-PG,103 min
s0036,Netflix Title 36,Movie,Animation,Canada,2014,2015-10-06,R,111 min
s0037,Netflix Title 37,Movie,"Animation, Crime, Romance",France,2014,2015-12-02,TV-14,113 min
s0038,Netflix Title 38,Movie,"Thriller, Action",South Korea,2016,2023-01-12,PG,118 min
s0039,Netflix Title 39,TV Show,"Animation, Comedy, Crime",United States,2005,2015-10-25,R,5 Seasons
s0040,Netflix Title 40,Movie,Horror,United Kingdom,2011,2017-12-22,PG-13,127 min
s0041,Netflix Title 41,TV Show,"Animation, Crime",Germany,2000,2019-11-30,TV-14,1 Seasons
s0042,Netflix Title 42,TV Show,"Comedy, Animation",India,2024,2022-06-10,PG,6 Seasons
s0043,Netflix Title 43,Movie,"Horror, Documentary",Canada,2003,2018-02-28,TV-14,144 min
s0044,Netflix Title 44,TV Show,"Documentary, Drama",India,2003,2015-07-28,TV-14,1 Seasons
s0045,Netflix Title 45,TV Show,"Sci-Fi, Crime, Thriller",Japan,2019,2016-06-19,PG,5 Seasons
s0046,Netflix Title 46,Movie,Romance,United Kingdom,1998,2015-11-05,TV-MA,154 min
s0047,Netflix Title 47,Movie,"Drama, Romance",United States,2008,2016-06-06,PG-13,106 min
s0048,Netflix Title 48,Movie,"Thriller, Action, Horror",South Korea,2016,2016-02-26,TV-PG,100 min
s0049,Netflix Title 49,Movie,"Romance, Thriller, Horror",United States,2023,2019-08-16,PG,114 min
s0050,Netflix Title 50,Movie,Sci-Fi,India,2020,2022-11-12,R,108 min
s0051,Netflix Title 51,Movie,Horror,South Korea,2021,2020-02-29,PG-13,83 min
s0052,Netflix Title 52,Movie,Documentary,Japan,2007,2018-09-06,TV-PG,124 min
s0053,Netflix Title 53,TV Show,Documentary,South Korea,2016,2021-01-05,G,2 Seasons
s0054,Netflix Title 54,TV Show,"Romance, Thriller, Comedy",France,1996,2016-03-20,PG-13,4 Seasons
s0055,Netflix Title 55,Movie,"Crime, Horror, Romance",France,2003,2015-07-01,G,135 min
s0056,Netflix Title 56,Movie,Documentary,South Korea,2016,2018-09-14,TV-14,144 min
s0057,Netflix Title 57,TV Show,"Documentary, Crime, Action",South Korea,2016,2019-07-31,R,2 Seasons
s0058,Netflix Title 58,TV Show,"Documentary, Thriller, Drama",United Kingdom,2016,2019-04-02,TV-MA,3 Seasons
s0059,Netflix Title 59,TV Show,"Sci-Fi, Horror",South Korea,2001,2019-10-27,R,5 Seasons
s0060,Netflix Title 60,TV Show,"Animation, Romance, Comedy",India,2020,2016-11-26,PG-13,2 Seasons
s0061,Netflix Title 61,TV Show,Horror,United Kingdom,2002,2017-03-26,G,4 Seasons
s0062,Netflix Title 62,Movie,"Thriller, Sci-Fi, Animation",Canada,2009,2019-08-25,TV-14,111 min
s0063,Netflix Title 63,Movie,Thriller,United States,2015,2022-09-17,TV-PG,108 min
s0064,Netflix Title 64,Movie,Crime,Germany,2020,2022-10-21,R,111 min
s0065,Netflix Title 65,Movie,"Crime, Romance, Sci-Fi",Spain,2009,2016-06-30,TV-14,158 min
s0066,Netflix Title 66,TV Show,"Sci-Fi, Animation, Documentary",Spain,2021,2021-02-22,PG,2 Seasons
s0067,Netflix Title 67,TV Show,Documentary,Spain,2019,2020-11-05,TV-14,4 Seasons
s0068,Netflix Title 68,Movie,"Romance, Crime",Canada,2017,2018-03-16,PG-13,90 min
s0069,Netflix Title 69,Movie,Horror,France,1999,2017-08-05,TV-14,88 min
s0070,Netflix Title 70,TV Show,"Drama, Horror",Germany,2008,2018-09-17,R,4 Seasons
s0071,Netflix Title 71,TV Show,"Thriller, Sci-Fi, Drama",United States,2023,2021-07-20,TV-PG,3 Seasons
s0072,Netflix Title 72,TV Show,"Crime, Horror, Sci-Fi",France,2019,2019-05-17,TV-MA,2 Seasons
s0073,Netflix Title 73,TV Show,"Thriller, Action",United States,2008,2020-06-12,R,4 Seasons
s0074,Netflix Title 74,Movie,"Animation, Drama, Comedy",United States,2014,2020-12-27,R,134 min
s0075,Netflix Title 75,Movie,"Thriller, Romance",United Kingdom,2022,2020-03-06,G,107 min
s0076,Netflix Title 76,TV Show,"Documentary, Comedy",France,2005,2018-10-14,PG-13,4 Seasons
s0077,Netflix Title 77,Movie,Comedy,United States,2018,2021-01-18,PG-13,85 min
s0078,Netflix Title 78,Movie,Horror,United States,2002,2017-03-27,TV-MA,96 min
